iter	Passed	Remaining
827	1991	413
828	1994	411
829	1996	408
830	1998	406
831	2000	403
832	2002	401
833	2004	398
834	2006	396
835	2008	394
836	2010	391
837	2012	389
838	2014	386
839	2016	384
840	2018	381
841	2020	379
842	2022	376
843	2023	374
844	2025	371
845	2027	369
846	2030	366
847	2032	364
848	2034	361
849	2036	359
850	2039	357
851	2041	354
852	2043	352
853	2045	349
854	2046	347
855	2048	344
856	2050	342
857	2052	339
858	2055	337
859	2057	334
860	2059	332
861	2061	330
862	2063	327
863	2066	325
864	2068	322
865	2070	320
866	2072	317
867	2074	315
868	2076	312
869	2078	310
870	2080	308
871	2082	305
872	2084	303
873	2086	300
874	2088	298
875	2090	295
876	2092	293
877	2094	290
878	2096	288
879	2098	286
880	2101	283
881	2103	281
882	2105	278
883	2107	276
884	2109	274
885	2111	271
886	2113	269
887	2115	266
888	2118	264
889	2120	262
890	2122	259
891	2124	257
892	2126	254
893	2128	252
894	2130	249
895	2132	247
896	2134	245
897	2136	242
898	2139	240
899	2141	237
900	2143	235
901	2145	233
902	2147	230
903	2149	228
904	2152	225
905	2154	223
906	2156	221
907	2158	218
908	2160	216
909	2162	213
910	2164	211
911	2166	209
912	2168	206
913	2170	204
914	2172	201
915	2175	199
916	2177	197
917	2179	194
918	2182	192
919	2184	189
920	2186	187
921	2188	185
922	2190	182
923	2192	180
924	2194	177
925	2196	175
926	2198	173
927	2200	170
928	2202	168
929	2204	165
930	2206	163
931	2209	161
932	2211	158
933	2213	156
934	2215	154
935	2217	151
936	2219	149
937	2222	146
938	2224	144
939	2226	142
940	2228	139
941	2230	137
942	2232	134
943	2234	132
944	2236	130
945	2238	127
946	2240	125
947	2242	122
948	2244	120
949	2246	118
950	2248	115
951	2251	113
952	2253	111
953	2255	108
954	2257	106
955	2259	103
956	2261	101
957	2263	99
958	2265	96
959	2267	94
960	2269	92
961	2271	89
962	2273	87
963	2275	84
964	2277	82
965	2280	80
966	2282	77
967	2284	75
968	2286	73
969	2288	70
970	2290	68
971	2292	66
972	2295	63
973	2297	61
974	2299	58
975	2301	56
976	2303	54
977	2304	51
978	2306	49
979	2309	47
980	2311	44
981	2313	42
982	2315	40
983	2318	37
984	2320	35
985	2322	32
986	2324	30
987	2326	28
988	2328	25
989	2331	23
990	2333	21
991	2335	18
992	2337	16
993	2339	14
994	2341	11
995	2343	9
996	2345	7
997	2347	4
998	2349	2
999	2352	0
